"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Accepta cantitate negativa"
"Allow Qty Below 0 and Notify Customer","Accepta cantitate negativa si anunta clientul"
"Backorders","Posibilitate de comanda"
"By Fixed value","dupa valoare fixa"
"By Percentage","dupa procent"
"Can not specify product identifier for order item","Nu se poate specifica ID-ul produsului comandat"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Scade stocul cand se face o comanda"
"In Stock","In Stock"
"Inventory","Gestiune stocuri"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","Cantitate maxima permisa in cos"
"Minimum Qty Allowed in Shopping Cart","Cantitate minima permisa in cos"
"No Backorders","Fara posibilitate de comanda"
"Notify for Quantity Below","Anunta pentru cantitate mai mica de"
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Reguli pret"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Optiuni stocuri"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","Cantitatea solicitata de ""%s"" nu este disponibila."
"The requested quantity is not available.","Cantitatea solicitata nu este disponibila."
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","pina la valoare fixa"
"To Percentage","pina la procent"
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","Actualizeaza produs"
